epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8708,1.50245,4.55928,1.4471,0.45073,0.25893,0.17797,0.11117,1.57519,4.20802,1.53879,5.001e-05,5.001e-05,5.001e-05
2,25.8355,1.47491,3.9761,1.35603,0.85765,0.92729,0.97487,0.69687,0.96686,2.10763,1.1137,0.000114765,0.000114765,0.000114765
3,27.9147,0.9819,1.95346,1.06578,0.83113,0.8986,0.83344,0.6842,0.71133,2.68023,0.96323,0.000177319,0.000177319,0.000177319
4,30.5058,1.0416,1.81231,1.13641,0.84924,0.92364,0.95205,0.76,0.76418,2.11548,0.97034,0.000237673,0.000237673,0.000237673
5,32.7312,0.97318,1.35169,1.06018,0.8387,0.9034,0.9565,0.75109,0.89619,2.66993,1.03156,0.000295826,0.000295826,0.000295826
6,34.487,0.97656,1.28685,1.11027,0.84945,0.9814,0.90275,0.72224,0.82847,2.57322,1.00439,0.000351779,0.000351779,0.000351779
7,36.3785,0.93054,1.18069,1.0647,0.67108,1,0.83729,0.64718,0.94439,2.75922,1.1183,0.000405531,0.000405531,0.000405531
8,38.1299,0.87491,1.00914,1.05955,0.65615,0.82739,0.8158,0.60045,1.09478,2.54705,1.22338,0.000457083,0.000457083,0.000457083
9,39.9694,0.94647,0.96394,1.08788,0.65061,0.97563,0.84306,0.60052,0.90954,2.80004,1.09493,0.000506435,0.000506435,0.000506435
10,41.9954,0.9737,0.90156,1.13939,0.68873,0.90468,0.86796,0.59683,1.03944,2.53698,1.27451,0.000553586,0.000553586,0.000553586
11,44.6062,0.9049,0.86751,1.08543,0.73895,0.84528,0.83177,0.53822,1.1216,2.07898,1.23947,0.000598536,0.000598536,0.000598536
12,46.411,0.94539,0.8387,1.08175,0.93739,0.92639,0.96114,0.76538,0.93227,1.47278,1.07223,0.000641287,0.000641287,0.000641287
13,48.2147,0.94406,0.75943,1.07843,0.65016,0.80152,0.70203,0.56227,0.87107,2.25486,1.08415,0.000681836,0.000681836,0.000681836
14,50.0132,0.91428,0.77405,1.12587,0.72729,0.71557,0.81858,0.6313,0.86528,1.85101,1.09465,0.000720186,0.000720186,0.000720186
15,51.7773,0.90367,0.72936,1.08692,0.53628,0.83144,0.74688,0.5553,0.99543,3.21014,1.13858,0.000756335,0.000756335,0.000756335
16,53.5135,0.95048,0.77525,1.09776,0.58073,0.79756,0.53752,0.3905,1.02434,2.42584,1.1981,0.000790283,0.000790283,0.000790283
17,55.4919,0.94618,0.74015,1.12185,0.68519,0.5848,0.57034,0.40962,0.9984,2.36728,1.20115,0.000822031,0.000822031,0.000822031
18,58.099,0.94288,0.7134,1.04573,0.52308,0.79762,0.51057,0.39926,0.97772,3.604,1.22055,0.000851579,0.000851579,0.000851579
19,60.118,0.93547,0.7102,1.10633,0.60645,1,0.72236,0.55667,0.92702,1.95568,1.18956,0.000878926,0.000878926,0.000878926
20,62.064,0.92558,0.67534,1.06532,0.71735,0.99129,0.84425,0.58688,1.13844,1.06556,1.33289,0.000904072,0.000904072,0.000904072
21,63.9639,0.85069,0.68631,1.05778,0.87889,0.85714,0.88013,0.64137,1.17582,1.00937,1.40721,0.000927019,0.000927019,0.000927019
22,65.7157,0.91671,0.62049,1.10735,0.6888,0.92857,0.88333,0.63101,1.07948,1.0397,1.41631,0.000947765,0.000947765,0.000947765
